Volt	VoltFs	VoltErr	HCurr	HCurrErr	FCurr	FCurrErr	CurrFs
4.00	1	0.16	16.8	0.3	9.37	0.16	60
3.00	0.5	0.10	16.5	0.3	9.14	0.16	60
2.50	0.5	0.09	16.0	0.3	8.92	0.15	60
2.00	0.5	0.08	15.8	0.3	8.82	0.15	60
1.50	0.5	0.07	15.4	0.3	8.56	0.15	60
1.20	0.2	0.04	15.2	0.3	8.47	0.15	60
1.00	0.2	0.04	15.0	0.3	8.40	0.15	60
0.80	0.2	0.03	14.8	0.2	8.30	0.14	60
0.60	0.1	0.02	14.6	0.2	8.23	0.14	60
0.50	0.1	0.02	14.5	0.2	8.17	0.14	60
0.40	0.1	0.02	14.5	0.2	8.13	0.14	60
0.340	0.1	0.014	14.3	0.2	8.08	0.14	60
0.300	0.05	0.010	14.0	0.2	8.05	0.14	60
0.280	0.05	0.010	13.8	0.2	8.02	0.14	60
0.250	0.05	0.009	13.5	0.2	7.94	0.14	60
0.230	0.05	0.009	13.2	0.2	7.85	0.14	60
0.210	0.05	0.008	12.7	0.2	7.67	0.14	60
0.200	0.05	0.008	11.7	0.2	7.53	0.13	60
0.150	0.05	0.007	8.27	0.14	5.80	0.11	60
0.100	0.02	0.005	4.11	0.08	2.37	0.06	60